"","U1","U2","V1","V2","type"
"1",22.8409044175924,8.95944034199948,22.8405926030846,8.91824735867858,"class 1"
"2",23.000821193744,1.10255791753239,23.000581903735,1.06289712370865,"class 1"
"3",23.2814048307728,4.79441580001117,23.2812703392518,4.74953728371193,"class 1"
"4",20.4993681353568,6.87600877747832,20.4990299972918,6.83252064024987,"class 1"
"5",27.2220912947305,10.4480361806599,27.2217592781563,10.4019691596676,"class 1"
"6",16.6133433295617,3.13644901653256,16.6130091423037,3.09439374784947,"class 1"
"7",23.0842966445689,9.53377689840311,23.0839938125094,9.49131588761609,"class 2"
"8",21.2643706966596,6.63035620752627,21.2640597231142,6.58924269651839,"class 2"
"9",29.2400438930118,15.0290917167429,29.2397335326014,14.9808838079985,"class 2"
"10",17.611417764234,3.10832040072056,17.6110440461626,3.06024169161284,"class 2"
"11",23.0198317549622,8.65679393600606,23.0195049009679,8.6104667405893,"class 2"
"12",25.3282955524125,12.0771465275397,25.327945739862,12.0305545633827,"class 2"
